B=99, G=95, R=176
B=97, G=92, R=175
B=98, G=94, R=176
B=100, G=96, R=178
B=97, G=92, R=175
B=97, G=92, R=175
B=97, G=92, R=175
B=97, G=92, R=175
B=95, G=91, R=173
B=92, G=90, R=172
B=92, G=90, R=172
B=89, G=87, R=169
B=86, G=84, R=166
B=89, G=87, R=169
B=89, G=87, R=169
B=90, G=90, R=170
B=86, G=84, R=166
B=81, G=82, R=164
B=79, G=80, R=160
B=78, G=80, R=158
B=75, G=78, R=155
B=75, G=80, R=156
B=75, G=80, R=156
B=73, G=78, R=152
B=70, G=75, R=150
B=70, G=76, R=148
B=69, G=76, R=145
B=67, G=77, R=144
B=65, G=74, R=142
B=65, G=74, R=142
B=65, G=75, R=140
B=65, G=79, R=141
B=60, G=77, R=139
B=62, G=82, R=140
B=64, G=83, R=142
B=60, G=83, R=139
B=60, G=86, R=141
B=58, G=87, R=141
B=57, G=85, R=140
B=59, G=90, R=144
B=57, G=88, R=142
B=57, G=90, R=142
B=57, G=90, R=142
B=55, G=90, R=139
B=59, G=91, R=140
B=64, G=93, R=143
B=69, G=92, R=134
B=46, G=67, R=100
B=34, G=49, R=74
B=32, G=41, R=58
B=19, G=33, R=55
B=61, G=81, R=106
B=193, G=220, R=237
B=202, G=234, R=245
B=193, G=227, R=237
B=192, G=225, R=233
B=195, G=228, R=239
B=202, G=236, R=245
B=163, G=190, R=210
B=46, G=67, R=93
B=23, G=41, R=62
B=37, G=49, R=61
B=33, G=46, R=64
B=26, G=42, R=61
B=34, G=52, R=80
B=72, G=97, R=129
B=49, G=66, R=98
B=49, G=56, R=88
B=65, G=69, R=101
B=68, G=73, R=102
B=50, G=56, R=83
B=21, G=33, R=55
B=35, G=66, R=90
B=126, G=173, R=202
B=150, G=201, R=227
B=125, G=182, R=206
B=138, G=183, R=214
B=106, G=145, R=179
B=19, G=46, R=73
B=15, G=26, R=42
B=24, G=34, R=42
B=25, G=35, R=37
B=27, G=35, R=37
B=27, G=36, R=35
B=29, G=37, R=36
B=27, G=36, R=35
B=27, G=36, R=35
B=25, G=36, R=35
B=28, G=39, R=37
B=27, G=42, R=37
B=28, G=42, R=40
B=28, G=42, R=40
B=32, G=43, R=44
B=30, G=45, R=45
B=29, G=43, R=44
B=26, G=44, R=44
B=26, G=43, R=46
B=26, G=43, R=46
B=28, G=43, R=49
B=43, G=56, R=64
B=40, G=53, R=60
B=26, G=42, R=47
B=28, G=43, R=49
B=27, G=45, R=50
B=32, G=46, R=51
B=29, G=45, R=50
B=28, G=43, R=49
B=32, G=47, R=50
B=29, G=46, R=48
B=29, G=47, R=46
B=28, G=45, R=45
B=26, G=44, R=44
B=28, G=45, R=45
B=28, G=45, R=45
B=26, G=44, R=44
B=28, G=46, R=43
B=32, G=47, R=45
B=33, G=45, R=43
B=33, G=44, R=45
B=35, G=49, R=49
B=32, G=46, R=46
B=25, G=42, R=42
B=27, G=44, R=52
B=38, G=53, R=68
B=143, G=162, R=175
B=209, G=232, R=240
B=203, G=226, R=232
B=198, G=223, R=225
B=201, G=225, R=227
B=199, G=226, R=226
B=201, G=226, R=226
B=201, G=226, R=226
B=202, G=225, R=226
B=202, G=224, R=225
B=213, G=235, R=242
B=181, G=208, R=223
B=47, G=68, R=82
B=27, G=42, R=56
B=32, G=42, R=56
B=35, G=42, R=55
B=77, G=84, R=104
B=76, G=84, R=108
B=43, G=49, R=68
B=41, G=46, R=57
B=34, G=40, R=51
B=39, G=44, R=55
B=30, G=44, R=68
B=28, G=52, R=86
B=118, G=159, R=197
B=150, G=211, R=245
B=53, G=103, R=147
B=3, G=44, R=92
B=90, G=119, R=176
B=99, G=124, R=188
B=90, G=99, R=175
B=88, G=83, R=168
B=82, G=74, R=163
B=82, G=72, R=160
B=79, G=68, R=157
B=75, G=66, R=152
B=70, G=62, R=145
B=66, G=60, R=141
B=60, G=53, R=135
B=57, G=54, R=135
B=60, G=53, R=135
B=61, G=55, R=137
B=63, G=54, R=137
B=64, G=56, R=138
B=67, G=54, R=139
B=68, G=56, R=140
B=68, G=55, R=142
B=68, G=56, R=144
B=72, G=56, R=146
B=73, G=57, R=147
B=73, G=57, R=149
B=75, G=59, R=152
B=79, G=63, R=155
B=78, G=62, R=153
B=80, G=65, R=156
B=82, G=67, R=158
B=84, G=68, R=159
B=84, G=69, R=158
B=86, G=71, R=160
B=89, G=76, R=164
B=90, G=78, R=166
B=89, G=79, R=164
B=90, G=81, R=167
B=88, G=80, R=165
B=88, G=81, R=164
B=88, G=85, R=164
B=88, G=86, R=164
B=87, G=88, R=163
B=85, G=89, R=163
B=87, G=93, R=164
B=84, G=91, R=161
B=80, G=91, R=155
B=83, G=97, R=160
